Unnamed: 0,1_흥안운수상계4동종점,2_흥안운수종점,3_불암현대아파트,4_동아불암아파트,5_불암대림아파트,6_상계벽산아파트,7_상계중앙시장입구,8_상계2동주민센터,9_노원역9번출구,10_노원구청,11_창4동주민센터,12_서울북부지방법원등기국,13_창동주공3단지,14_창1동주민센터,15_도봉문화정보도서관,16_창림초교창동신창아파트앞,17_국립현대미술관창동레지던시,18_신창.창동시장,19_창동서울탁주앞,20_금용아파트,21_창2동주민센터.보건지소,22_태영데시앙아파트,23_수유3동우체국,24_수유(강북구청)역,25_수유역,26_삼성화재강북지점,27_수유역.노스페이스문화센터,28_수유3동우체국,29_태영데시앙아파트,30_창2동주민센터.보건지소,31_창번2교앞,32_창동서울탁주앞,33_창동.신창시장,34_국립현대미술관창동레지던시,35_창림초교창동신창아파트앞,36_서울가든아파트앞,37_창1동주민센터,38_창동주공3단지,39_서울북부지방법원등기국,40_창4동주민센터,41_노원구청,42_노원역1번출구,43_상계2동주민센터,44_상계중앙시장입구,45_상계역,46_불암대림아파트,47_상계시장,48_동아불암아파트,49_흥안운수종점,50_흥안운수상계4동종점
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,1,0,6,3,7,0,8,7,7,0,0,0,0,0,7,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,1,0,1,3,2,3,4,3,2,4,4,4,0,0,2,3,2,5,6,0,0,3,2,0,0,1,8,0,0,9,8,10,12,14,4,0,0,13,2,11,8,5,6,0,3,1,2,1,0,0
2022-03-06 06:00:00,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,1,1,0,1,3,4,0,3,0,0,2,3,1,1,0,0,2,0,0,1,0,0
2022-03-06 07:00:00,2,1,0,3,0,2,3,0,2,0,0,1,0,0,0,0,2,2,4,0,6,0,3,0,0,0,1,0,0,2,0,2,1,0,0,3,0,0,2,1,0,2,0,1,0,0,0,0,0,0
2022-03-06 08:00:00,1,2,0,3,3,5,6,5,3,4,4,0,6,0,0,0,8,7,6,1,7,0,6,0,0,0,2,0,0,3,3,5,5,0,6,0,5,0,2,1,2,0,0,0,1,0,0,0,0,0
2022-03-06 09:00:00,1,2,0,4,5,6,7,7,5,4,0,0,2,6,1,0,6,6,6,0,10,7,6,1,0,0,5,2,0,0,1,4,5,6,0,0,1,5,7,6,5,4,2,2,5,3,2,0,0,0
2022-03-06 10:00:00,2,3,3,6,4,6,5,3,5,6,7,6,3,0,0,0,6,5,6,5,6,0,8,2,0,0,2,0,0,2,4,8,8,9,10,12,0,3,2,8,6,7,6,4,7,4,5,4,0,0
2022-03-06 11:00:00,5,6,5,8,0,6,8,5,7,6,7,0,0,0,7,8,2,9,11,0,8,6,3,0,0,0,0,0,3,0,0,0,4,3,4,1,5,6,4,0,2,2,0,3,4,0,3,2,1,0
2022-03-06 12:00:00,3,4,7,6,7,9,8,7,7,4,2,5,5,1,3,2,4,5,8,9,5,9,4,0,0,0,2,0,0,0,0,1,2,3,6,5,6,0,0,5,6,7,6,4,5,0,4,3,2,0
2022-03-06 13:00:00,6,7,6,9,7,8,4,3,2,4,0,3,2,4,3,0,9,11,12,6,8,7,7,0,0,0,4,1,0,2,0,1,5,6,2,5,5,0,4,0,5,9,8,7,8,7,5,3,1,0
2022-03-06 14:00:00,4,5,4,6,6,9,8,8,7,5,6,2,5,6,5,4,5,5,0,9,12,5,10,1,0,2,5,3,6,5,6,5,8,3,0,9,8,7,3,6,5,5,4,3,3,0,0,2,1,0
2022-03-06 15:00:00,3,7,8,10,9,8,2,6,8,7,8,6,5,6,3,2,7,6,7,8,9,10,9,1,1,3,6,7,8,4,9,6,10,13,14,13,15,0,15,14,11,8,12,12,11,10,5,3,2,2
2022-03-06 16:00:00,2,3,0,4,0,2,0,1,1,4,5,4,0,4,0,5,0,3,0,1,4,2,2,1,0,0,2,4,3,4,1,3,5,6,6,0,0,3,7,0,6,12,5,0,12,11,8,1,0,0
2022-03-06 17:00:00,1,3,2,5,0,7,9,8,6,8,6,0,5,4,0,4,4,7,13,0,5,11,3,0,0,0,7,7,0,8,0,7,6,6,2,5,4,0,4,3,2,4,2,0,3,7,6,3,2,0
2022-03-06 18:00:00,3,1,3,4,5,5,6,4,7,1,6,5,0,1,0,1,2,5,0,0,3,4,2,0,0,0,12,16,17,14,11,8,4,4,3,3,2,4,0,5,5,8,0,4,7,4,3,0,0,0
2022-03-06 19:00:00,1,1,0,3,0,4,3,3,6,8,9,10,7,8,7,5,6,9,4,8,0,4,7,2,2,1,10,6,0,9,8,7,9,7,0,3,6,5,2,3,6,6,6,0,9,4,6,2,2,0
2022-03-06 20:00:00,0,2,0,0,0,1,2,0,9,9,10,11,9,4,3,2,2,0,7,0,6,7,7,0,0,0,7,6,1,5,6,7,9,9,8,7,5,1,3,2,2,7,6,6,8,7,6,3,0,0
2022-03-06 21:00:00,1,3,0,4,3,2,3,0,5,4,0,5,6,10,9,8,6,2,3,1,5,4,3,0,0,1,4,0,3,0,1,2,4,4,2,3,0,3,4,1,2,8,0,6,9,7,5,2,0,0
2022-03-06 22:00:00,0,1,0,1,0,0,1,0,6,7,5,5,4,0,1,0,3,2,0,0,0,0,0,0,0,0,4,6,4,3,0,4,3,0,2,0,0,1,0,0,5,12,14,13,16,12,0,8,4,0
2022-03-06 23:00:00,1,4,0,5,3,3,5,4,5,3,6,0,5,0,0,6,0,0,5,0,0,0,3,1,0,0,1,0,0,0,4,0,0,3,0,0,0,1,0,0,2,8,2,2,10,6,5,3,2,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,5,6,8,10,12,14,13,8,14,12,8,0,0,0,0,9,0,8,9,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,3,1,3,5,5,6,7,4,3,8,0,4,2,4,3,2,0,3,3,0,4,2,1,0,0,7,9,0,0,13,0,19,20,22,24,0,2,25,23,18,10,6,4,5,5,0,0,0,2,0
2022-03-07 06:00:00,3,0,0,6,0,4,3,1,4,0,0,0,0,0,0,5,2,6,7,0,5,6,4,0,0,0,0,0,0,2,1,1,2,4,5,0,1,4,5,0,4,5,4,3,7,5,3,2,1,0
2022-03-07 07:00:00,1,2,3,8,7,12,14,11,10,10,9,0,10,0,0,9,10,10,10,8,15,15,21,0,0,0,2,3,2,5,7,8,9,15,18,20,21,23,22,19,5,4,5,6,5,0,4,2,1,0
2022-03-07 08:00:00,7,8,8,15,14,13,14,15,13,8,7,6,10,11,0,10,9,11,14,14,18,17,16,2,0,2,4,5,4,6,6,5,7,8,10,11,9,11,13,13,11,6,6,5,5,0,4,1,3,0
2022-03-07 09:00:00,3,7,8,12,12,11,9,8,6,3,2,0,3,3,4,5,6,7,11,14,10,13,12,1,0,1,4,0,0,5,6,4,8,9,10,12,4,8,14,14,8,6,6,6,6,5,2,0,0,0
2022-03-07 10:00:00,3,4,5,7,0,7,6,7,7,7,7,6,4,3,0,2,4,7,7,8,9,3,8,1,0,1,5,5,6,6,0,8,8,7,9,8,8,10,10,11,5,4,3,3,2,0,1,1,0,0
2022-03-07 11:00:00,2,6,7,11,11,10,5,9,5,6,5,6,0,4,5,6,6,8,8,0,8,0,6,0,0,1,3,4,0,3,2,4,5,6,6,0,6,0,7,5,7,7,6,4,6,6,4,4,1,0
2022-03-07 12:00:00,2,3,5,7,12,11,8,8,5,8,4,6,3,8,0,7,7,6,0,5,5,0,4,0,0,0,4,5,4,4,0,4,4,5,4,0,0,0,6,4,3,8,7,4,4,6,5,0,0,0
2022-03-07 13:00:00,2,2,5,9,7,11,0,6,5,10,4,9,8,9,1,6,5,5,4,0,4,5,3,1,0,1,4,7,6,1,0,5,7,2,3,0,0,0,6,0,6,6,5,5,3,0,2,1,0,0
2022-03-07 14:00:00,3,6,8,8,5,9,10,9,6,9,8,5,3,0,9,0,8,6,7,6,8,7,5,1,0,0,6,7,5,6,5,6,6,7,8,7,8,7,6,5,9,7,0,8,9,8,2,6,2,0
2022-03-07 15:00:00,3,6,7,10,7,10,11,10,7,4,5,0,6,3,7,4,7,9,10,11,11,12,10,2,1,2,6,0,6,6,4,5,9,6,11,10,0,9,0,7,7,15,13,14,16,12,6,4,3,0
2022-03-07 16:00:00,4,6,0,9,8,10,0,9,13,15,15,13,10,11,9,8,7,9,7,8,8,9,8,2,0,1,8,10,8,9,0,10,7,8,0,5,9,5,10,9,10,9,8,8,11,10,10,7,4,0
2022-03-07 17:00:00,3,5,0,4,9,3,7,2,9,9,9,3,8,7,6,6,8,8,10,11,10,9,7,0,0,1,9,13,11,10,11,8,7,8,9,0,8,10,11,10,12,15,15,14,26,10,9,6,1,0
2022-03-07 18:00:00,3,7,8,10,15,15,18,12,12,18,20,21,18,19,10,16,12,10,11,9,12,12,9,2,1,2,17,16,15,6,14,8,8,6,8,8,7,5,6,5,11,16,15,14,24,23,19,14,5,0
2022-03-07 19:00:00,1,0,1,3,0,13,10,7,6,8,8,6,6,0,8,6,6,10,1,0,8,7,4,1,0,1,21,21,18,18,14,9,11,9,5,0,8,0,7,0,8,9,0,8,12,14,10,8,7,2
2022-03-07 20:00:00,0,1,0,0,0,4,3,1,3,6,2,5,0,0,3,1,5,4,4,3,2,1,1,0,0,0,9,10,13,12,11,10,5,4,6,3,6,5,8,7,5,9,8,7,14,13,8,4,3,0
2022-03-07 21:00:00,1,2,0,4,3,5,0,4,11,13,14,13,10,9,8,4,3,4,3,1,5,0,3,0,0,0,6,9,8,6,3,4,4,1,0,2,0,0,1,0,1,7,0,6,7,4,6,3,2,0
