Unnamed: 0,1_중계본동종점,2_노원우체국,3_중계본동주민센터,4_영신여자고등학교입구,5_노원문화예술회관.불암초등학교,6_기업은행중계동지점,7_은행사거리,8_중계주공10단지.중계건영3차아파트,9_노원구민체육센터,10_목련아파트상가,11_중계목화아파트4단지,12_용동초등학교,13_2001아울렛중계점,14_노원구민의전당,15_하계역,16_하계우성아파트,17_하계극동아파트,18_월계보건지소,19_월계사슴아파트2단지,20_월계역,21_녹천초등학교월계이마트,22_월계삼호4차아파트,23_월계삼호아파트,24_월계미륭아파트,25_월계미성아파트,26_한천초등학교,27_한진한화그랑빌아파트,28_한진한화그랑빌아파트,29_석계역2번출구,30_석계역1번출구.A,31_석계역굴다리앞,32_석계역,33_한천초등학교,34_월계미성아파트,35_월계미륭아파트,36_월계삼호아파트,37_월계삼호4차아파트,38_녹천초등학교월계이마트,39_월계역,40_월계사슴아파트3단지,41_월계보건지소,42_하계시영아파트,43_하계장미아파트,44_하계역,45_서울시립북서울미술관,46_2001아울렛중계점,47_용동초등학교,48_하계현대아파트,49_롯데마트,50_노원구민체육센터,51_롯데우성아파트,52_은행사거리,53_신한은행중계본동지점,54_노원문화예술회관.불암초등학교,55_불암고등학교,56_노원우체국,57_중계본동종점(가상)
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,1,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,3,3,0,3,0,2,0,0,1,0,0,0,0,0,0
2022-03-06 06:00:00,0,0,0,1,1,0,1,0,0,2,0,2,0,3,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 07:00:00,0,0,0,1,1,0,0,0,0,1,2,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2022-03-06 08:00:00,0,0,1,2,3,3,0,4,5,6,0,0,0,1,0,2,0,0,1,2,0,1,2,0,1,0,0,2,1,0,0,0,0,1,0,2,3,0,0,0,4,1,5,2,0,0,0,0,4,0,0,0,0,0,0,0,0
2022-03-06 09:00:00,0,2,5,5,7,8,11,10,9,8,10,9,7,5,3,0,4,3,0,4,1,0,0,0,2,0,0,0,0,1,0,0,2,2,0,3,5,0,6,7,9,10,12,15,9,2,0,0,0,0,8,3,2,0,1,0,0
2022-03-06 10:00:00,1,2,0,2,4,0,2,5,4,5,0,0,4,2,3,0,4,0,3,4,2,0,0,0,6,2,0,5,4,4,1,2,0,0,0,2,2,4,4,5,5,4,7,8,6,0,6,0,5,5,6,3,3,4,3,2,0
2022-03-06 11:00:00,1,2,4,8,9,7,9,10,0,7,8,7,9,8,6,1,0,3,3,4,2,0,1,0,0,0,0,2,0,5,0,0,3,6,7,8,0,3,7,0,9,0,4,8,10,11,4,0,0,9,6,3,1,0,0,0,0
2022-03-06 12:00:00,1,0,7,10,11,7,15,17,0,18,0,11,19,12,7,5,4,6,0,5,4,0,3,1,0,2,0,1,0,2,3,4,2,5,7,6,0,5,4,3,4,0,4,6,10,10,9,7,7,3,9,6,5,3,0,0,0
2022-03-06 13:00:00,0,3,0,2,3,13,21,0,22,10,23,23,24,21,11,10,2,2,0,10,7,0,0,6,0,8,7,0,5,1,0,3,0,2,0,3,4,4,2,4,6,7,11,14,13,13,11,0,13,12,11,7,6,2,0,0,0
2022-03-06 14:00:00,0,2,3,5,7,9,12,0,7,13,0,11,4,9,8,8,7,0,0,6,7,8,5,3,0,0,3,3,2,2,0,3,3,0,0,4,3,2,3,0,4,6,6,10,10,11,13,11,10,7,5,5,4,0,1,3,0
